year,avg_temp
1743,13.81
1744,16.98
1745,10.78
1746,
1747,
1748,
1749,
1750,16.52
1751,16.78
1752,13.09
1753,16.17
1754,16.09
1755,15.80
1756,16.11
1757,15.88
1758,15.04
1759,16.19
1760,15.91
1761,16.25
1762,16.13
1763,15.65
1764,16.21
1765,16.19
1766,16.06
1767,15.97
1768,15.49
1769,15.94
1770,15.80
1771,16.30
1772,17.21
1773,15.84
1774,16.33
1775,16.55
1776,16.10
1777,15.87
1778,16.38
1779,16.55
1780,16.78
1781,16.65
1782,15.55
1783,16.26
1784,15.83
1785,15.68
1786,16.03
1787,16.25
1788,16.67
1789,15.46
1790,16.36
1791,16.41
1792,16.22
1793,16.15
1794,16.28
1795,16.10
1796,16.07
1797,16.02
1798,16.19
1799,15.63
1800,16.63
1801,16.49
1802,16.72
1803,16.26
1804,16.71
1805,15.44
1806,16.40
1807,16.01
1808,14.96
1809,15.41
1810,15.40
1811,16.02
1812,15.00
1813,15.39
1814,14.86
1815,15.64
1816,14.81
1817,15.96
1818,16.29
1819,15.89
1820,15.73
1821,16.17
1822,16.70
1823,15.71
1824,16.05
1825,16.33
1826,15.95
1827,15.86
1828,16.53
1829,15.30
1830,15.97
1831,16.23
1832,15.92
1833,15.83
1834,16.68
1835,15.43
1836,15.50
1837,15.45
1838,15.86
1839,15.93
1840,15.77
1841,16.07
1842,15.88
1843,15.98
1844,15.95
1845,15.70
1846,16.64
1847,15.84
1848,15.66
1849,16.04
1850,15.65
1851,15.37
1852,16.39
1853,15.23
1854,15.62
1855,15.35
1856,16.21
1857,15.82
1858,16.20
1859,16.08
1860,15.01
1861,15.91
1862,16.41
1863,16.02
1864,15.97
1865,16.20
1866,16.53
1867,16.38
1868,16.30
1869,16.00
1870,15.90
1871,15.46
1872,15.93
1873,15.87
1874,15.87
1875,15.92
1876,16.19
1877,16.22
1878,16.22
1879,15.46
1880,16.25
1881,16.47
1882,16.29
1883,15.47
1884,15.65
1885,15.54
1886,15.51
1887,14.90
1888,15.24
1889,15.28
1890,15.14
1891,15.52
1892,15.97
1893,16.27
1894,15.83
1895,16.31
1896,15.42
1897,16.64
1898,16.16
1899,16.73
1900,16.24
1901,15.51
1902,15.99
1903,15.65
1904,16.40
1905,15.75
1906,15.76
1907,15.83
1908,16.05
1909,15.32
1910,15.62
1911,16.30
1912,15.80
1913,16.32
1914,15.81
1915,15.83
1916,15.97
1917,15.22
1918,15.41
1919,15.30
1920,16.28
1921,16.28
1922,15.94
1923,16.03
1924,16.15
1925,15.49
1926,16.61
1927,16.57
1928,16.74
1929,16.18
1930,16.50
1931,16.15
1932,15.84
1933,16.09
1934,16.37
1935,16.10
1936,16.03
1937,16.91
1938,16.17
1939,16.01
1940,16.01
1941,15.57
1942,16.26
1943,16.88
1944,16.05
1945,16.84
1946,16.19
1947,17.08
1948,16.90
1949,17.18
1950,16.86
1951,15.88
1952,16.66
1953,16.41
1954,15.99
1955,16.72
1956,15.34
1957,15.89
1958,16.50
1959,16.46
1960,16.16
1961,17.04
1962,16.09
1963,15.77
1964,16.54
1965,16.02
1966,16.52
1967,16.54
1968,16.47
1969,15.78
1970,16.35
1971,16.07
1972,15.54
1973,16.10
1974,15.89
1975,16.02
1976,15.98
1977,16.07
1978,16.05
1979,16.36
1980,15.86
1981,16.56
1982,16.95
1983,16.83
1984,15.90
1985,16.45
1986,16.61
1987,16.80
1988,17.00
1989,17.43
1990,17.30
1991,16.37
1992,16.35
1993,16.28
1994,17.51
1995,17.33
1996,16.72
1997,17.66
1998,17.15
1999,17.14
2000,17.15
2001,17.27
2002,17.16
2003,17.73
2004,17.12
2005,16.69
2006,17.81
2007,17.24
2008,16.92
2009,17.45
2010,16.51
2011,17.90
2012,17.51
2013,17.00
