year,avg_temp
1743,13.24
1744,17.25
1745,11.03
1746,
1747,
1748,
1749,
1750,16.79
1751,17.20
1752,13.03
1753,16.42
1754,16.41
1755,16.11
1756,16.43
1757,16.24
1758,15.20
1759,16.33
1760,15.96
1761,16.49
1762,16.41
1763,15.82
1764,16.46
1765,16.47
1766,16.35
1767,16.31
1768,15.67
1769,16.19
1770,16.05
1771,16.58
1772,17.35
1773,16.11
1774,16.70
1775,16.85
1776,16.37
1777,16.15
1778,16.58
1779,16.72
1780,17.13
1781,16.77
1782,15.85
1783,16.37
1784,16.14
1785,15.94
1786,16.35
1787,16.47
1788,16.95
1789,15.67
1790,16.54
1791,16.59
1792,16.48
1793,16.40
1794,16.38
1795,16.43
1796,16.33
1797,16.19
1798,16.45
1799,16.04
1800,16.92
1801,16.71
1802,16.92
1803,16.57
1804,17.00
1805,15.90
1806,16.61
1807,16.20
1808,15.31
1809,15.60
1810,15.46
1811,15.95
1812,15.31
1813,15.60
1814,15.16
1815,15.84
1816,15.13
1817,16.27
1818,16.55
1819,16.02
1820,15.91
1821,16.46
1822,16.73
1823,15.99
1824,16.30
1825,16.51
1826,16.19
1827,16.09
1828,16.64
1829,15.74
1830,16.29
1831,16.53
1832,16.15
1833,16.01
1834,16.89
1835,15.75
1836,15.88
1837,15.86
1838,16.24
1839,16.14
1840,16.05
1841,16.27
1842,16.16
1843,16.30
1844,16.21
1845,15.88
1846,16.81
1847,16.16
1848,15.88
1849,16.28
1850,16.10
1851,15.87
1852,16.65
1853,15.63
1854,15.92
1855,15.68
1856,16.51
1857,16.06
1858,16.70
1859,16.11
1860,15.41
1861,16.09
1862,16.49
1863,16.03
1864,16.40
1865,16.39
1866,16.61
1867,16.80
1868,16.43
1869,16.27
1870,16.28
1871,15.94
1872,16.23
1873,16.11
1874,16.25
1875,16.18
1876,16.45
1877,16.55
1878,16.68
1879,15.88
1880,16.41
1881,16.80
1882,16.22
1883,15.53
1884,15.69
1885,15.75
1886,15.86
1887,15.44
1888,15.63
1889,15.43
1890,15.33
1891,15.73
1892,16.28
1893,16.60
1894,15.97
1895,16.76
1896,15.57
1897,16.91
1898,16.39
1899,17.26
1900,16.43
1901,15.82
1902,16.21
1903,15.95
1904,16.57
1905,16.01
1906,15.99
1907,16.00
1908,16.34
1909,15.74
1910,15.94
1911,16.27
1912,16.04
1913,16.51
1914,16.17
1915,16.17
1916,16.18
1917,15.48
1918,15.54
1919,15.52
1920,16.37
1921,16.46
1922,16.44
1923,16.14
1924,16.55
1925,15.72
1926,16.92
1927,16.74
1928,16.89
1929,16.37
1930,16.77
1931,16.60
1932,16.04
1933,16.34
1934,16.35
1935,16.40
1936,16.28
1937,17.13
1938,16.41
1939,16.33
1940,16.40
1941,16.00
1942,16.68
1943,16.95
1944,16.34
1945,17.14
1946,16.45
1947,17.24
1948,17.14
1949,17.11
1950,17.04
1951,16.14
1952,16.87
1953,16.44
1954,16.29
1955,17.23
1956,15.49
1957,16.04
1958,16.80
1959,16.61
1960,16.64
1961,17.19
1962,16.58
1963,16.28
1964,16.92
1965,16.34
1966,16.87
1967,16.51
1968,16.75
1969,15.95
1970,16.41
1971,15.91
1972,15.64
1973,16.06
1974,16.12
1975,16.13
1976,16.05
1977,16.31
1978,16.52
1979,16.76
1980,16.33
1981,16.86
1982,17.06
1983,17.03
1984,16.20
1985,16.86
1986,16.90
1987,17.28
1988,17.21
1989,17.52
1990,17.36
1991,16.58
1992,16.65
1993,16.40
1994,17.67
1995,17.66
1996,17.01
1997,17.81
1998,17.46
1999,17.43
2000,17.47
2001,17.84
2002,17.51
2003,17.86
2004,17.41
2005,16.97
2006,17.97
2007,17.41
2008,17.21
2009,17.61
2010,16.83
2011,17.98
2012,17.65
2013,17.46
